tas,"	Year", Month, Country, ISO3, ISO2
24.8662,1901,1,BRB,,
25.0662,1901,2,BRB,,
25.2662,1901,3,BRB,,
25.8325,1901,4,BRB,,
26.6651,1901,5,BRB,,
26.4313,1901,6,BRB,,
26.1988,1901,7,BRB,,
26.5651,1901,8,BRB,,
26.5988,1901,9,BRB,,
26.3662,1901,10,BRB,,
26.0988,1901,11,BRB,,
25.4325,1901,12,BRB,,
24.8662,1902,1,BRB,,
25.0662,1902,2,BRB,,
25.0662,1902,3,BRB,,
25.6325,1902,4,BRB,,
26.3651,1902,5,BRB,,
26.3313,1902,6,BRB,,
26.2651,1902,7,BRB,,
26.4988,1902,8,BRB,,
26.4988,1902,9,BRB,,
26.3325,1902,10,BRB,,
25.9988,1902,11,BRB,,
25.4325,1902,12,BRB,,
25.0662,1903,1,BRB,,
24.8662,1903,2,BRB,,
25.0662,1903,3,BRB,,
25.7325,1903,4,BRB,,
26.6651,1903,5,BRB,,
26.7313,1903,6,BRB,,
26.3651,1903,7,BRB,,
26.4651,1903,8,BRB,,
26.4988,1903,9,BRB,,
26.3662,1903,10,BRB,,
26.0325,1903,11,BRB,,
25.3325,1903,12,BRB,,
24.8662,1904,1,BRB,,
24.6662,1904,2,BRB,,
25,1904,3,BRB,,
25.4325,1904,4,BRB,,
26.3988,1904,5,BRB,,
26.4313,1904,6,BRB,,
26.1651,1904,7,BRB,,
26.2651,1904,8,BRB,,
26.3325,1904,9,BRB,,
26.2325,1904,10,BRB,,
26.1988,1904,11,BRB,,
25.4325,1904,12,BRB,,
24.8662,1905,1,BRB,,
24.7,1905,2,BRB,,
25.0662,1905,3,BRB,,
25.7325,1905,4,BRB,,
26.3651,1905,5,BRB,,
26.5313,1905,6,BRB,,
26.2651,1905,7,BRB,,
26.4988,1905,8,BRB,,
26.4988,1905,9,BRB,,
26.3325,1905,10,BRB,,
26.2988,1905,11,BRB,,
25.4325,1905,12,BRB,,
24.7662,1906,1,BRB,,
24.7662,1906,2,BRB,,
25.1,1906,3,BRB,,
25.6325,1906,4,BRB,,
26.4651,1906,5,BRB,,
26.3313,1906,6,BRB,,
26.2651,1906,7,BRB,,
26.5651,1906,8,BRB,,
26.4988,1906,9,BRB,,
26.4325,1906,10,BRB,,
26.1988,1906,11,BRB,,
25.1325,1906,12,BRB,,
24.5,1907,1,BRB,,
24.4662,1907,2,BRB,,
24.8662,1907,3,BRB,,
25.3662,1907,4,BRB,,
26.2651,1907,5,BRB,,
26.4313,1907,6,BRB,,
26.3651,1907,7,BRB,,
26.4651,1907,8,BRB,,
26.4988,1907,9,BRB,,
26.3325,1907,10,BRB,,
26.0988,1907,11,BRB,,
25.4325,1907,12,BRB,,
24.8662,1908,1,BRB,,
24.7662,1908,2,BRB,,
25.0662,1908,3,BRB,,
25.5662,1908,4,BRB,,
26.4651,1908,5,BRB,,
26.5313,1908,6,BRB,,
26.3651,1908,7,BRB,,
26.6651,1908,8,BRB,,
26.5325,1908,9,BRB,,
26.3662,1908,10,BRB,,
26.0325,1908,11,BRB,,
25.4325,1908,12,BRB,,
24.7,1909,1,BRB,,
24.6662,1909,2,BRB,,
25.2662,1909,3,BRB,,
25.4662,1909,4,BRB,,
26.4651,1909,5,BRB,,
26.2651,1909,6,BRB,,
26.2651,1909,7,BRB,,
26.2988,1909,8,BRB,,
26.5325,1909,9,BRB,,
26.3662,1909,10,BRB,,
25.8988,1909,11,BRB,,
25.1325,1909,12,BRB,,
24.6662,1910,1,BRB,,
24.5662,1910,2,BRB,,
25,1910,3,BRB,,
25.5325,1910,4,BRB,,
26.2651,1910,5,BRB,,
26.4313,1910,6,BRB,,
26.2651,1910,7,BRB,,
26.4988,1910,8,BRB,,
26.3325,1910,9,BRB,,
26.3325,1910,10,BRB,,
26.1988,1910,11,BRB,,
25.5325,1910,12,BRB,,
24.6662,1911,1,BRB,,
24.6662,1911,2,BRB,,
24.9662,1911,3,BRB,,
25.5662,1911,4,BRB,,
26.2988,1911,5,BRB,,
26.5313,1911,6,BRB,,
26.2988,1911,7,BRB,,
26.6651,1911,8,BRB,,
26.5988,1911,9,BRB,,
26.4325,1911,10,BRB,,
26.2988,1911,11,BRB,,
25.4325,1911,12,BRB,,
24.9662,1912,1,BRB,,
24.9662,1912,2,BRB,,
25.2662,1912,3,BRB,,
25.6325,1912,4,BRB,,
26.5651,1912,5,BRB,,
26.4313,1912,6,BRB,,
26.4651,1912,7,BRB,,
26.5651,1912,8,BRB,,
26.5988,1912,9,BRB,,
26.4325,1912,10,BRB,,
26.1988,1912,11,BRB,,
25.5325,1912,12,BRB,,
24.7662,1913,1,BRB,,
24.6,1913,2,BRB,,
24.9662,1913,3,BRB,,
25.3662,1913,4,BRB,,
26.6651,1913,5,BRB,,
26.1651,1913,6,BRB,,
26.0988,1913,7,BRB,,
26.2988,1913,8,BRB,,
26.4325,1913,9,BRB,,
26.5988,1913,10,BRB,,
25.9988,1913,11,BRB,,
25.2325,1913,12,BRB,,
24.7662,1914,1,BRB,,
24.6662,1914,2,BRB,,
25.1662,1914,3,BRB,,
25.5325,1914,4,BRB,,
26.3651,1914,5,BRB,,
26.2651,1914,6,BRB,,
26.1988,1914,7,BRB,,
26.3988,1914,8,BRB,,
26.5988,1914,9,BRB,,
26.4325,1914,10,BRB,,
26.1988,1914,11,BRB,,
25.6325,1914,12,BRB,,
24.8662,1915,1,BRB,,
24.5662,1915,2,BRB,,
25.2662,1915,3,BRB,,
25.4325,1915,4,BRB,,
26.3651,1915,5,BRB,,
26.4313,1915,6,BRB,,
26.3651,1915,7,BRB,,
26.5651,1915,8,BRB,,
26.5988,1915,9,BRB,,
26.5325,1915,10,BRB,,
26.1988,1915,11,BRB,,
25.4325,1915,12,BRB,,
